time	theta_1	theta_2	theta_3	phi	psi	theta_1_dot	theta_2_dot	theta_3_dot	phi_dot	psi_dot	motor_1_mode	motor_1_theta	motor_1_angvel	motor_1_torque_limit	motor_1_torque	motor_2_mode	motor_2_theta	motor_2_angvel	motor_2_torque_limit	motor_2_torque	motor_3_mode	motor_3_theta	motor_3_angvel	motor_3_torque_limit	motor_3_torque
2420	-0.00306796157577	0.013805827091	1.58153419231	0	0	-0.0	-0.0	-0.506843614779	0	0	0	0	0.5	1	NaN	0	0	0.5	1	NaN	0	0	0.5	1	NaN
2445	-0.00306796157577	0.013805827091	1.56772836522	0	0	-0.0	-0.0	-0.460766922527	0	0	0	0	0.5	1	NaN	0	0	0.5	1	NaN	0	0	0.5	1	NaN
2470	-0.00306796157577	0.013805827091	1.55545651892	0	0	-0.0	-0.0	-0.460766922527	0	0	0	0	0.5	1	NaN	0	0	0.5	1	NaN	0	0	0.5	1	NaN
2495	-0.00306796157577	0.013805827091	1.54318467261	0	0	-0.0	-0.0	-0.460766922527	0	0	0	0	0.5	1	NaN	0	0	0.5	1	NaN	0	0	0.5	1	NaN
2520	-0.00306796157577	0.013805827091	1.52937884552	0	0	-0.0	-0.0	-0.460766922527	0	0	0	0	0.5	1	NaN	0	0	0.5	1	NaN	0	0	0.5	1	NaN
2547	-0.00460194236366	0.013805827091	1.51557301843	0	0	-0.0	-0.0	-0.460766922527	0	0	0	0	0.5	1	NaN	0	0	0.5	1	NaN	0	0	0.5	1	NaN
2571	-0.00460194236366	0.013805827091	1.50330117213	0	0	-0.0	-0.0	-0.460766922527	0	0	0	0	0.5	1	NaN	0	0	0.5	1	NaN	0	0	0.5	1	NaN
2596	-0.00306796157577	0.013805827091	1.49102932582	0	0	-0.0	-0.0	-0.460766922527	0	0	0	0	0.5	1	NaN	0	0	0.5	1	NaN	0	0	0.5	1	NaN
2622	-0.00306796157577	0.013805827091	1.47722349873	0	0	-0.0	-0.0	-0.552920307032	0	0	0	0	0.5	1	NaN	0	0	0.5	1	NaN	0	0	0.5	1	NaN
2647	-0.00306796157577	0.013805827091	1.46188369086	0	0	-0.0	-0.0	-0.506843614779	0	0	0	0	0.5	1	NaN	0	0	0.5	1	NaN	0	0	0.5	1	NaN
2672	-0.00306796157577	0.013805827091	1.44807786376	0	0	-0.0	-0.0	-0.506843614779	0	0	0	0	0.5	1	NaN	0	0	0.5	1	NaN	0	0	0.5	1	NaN
2697	-0.00460194236366	0.013805827091	1.4312040751	0	0	-0.0	-0.0	-0.506843614779	0	0	0	0	0.5	1	NaN	0	0	0.5	1	NaN	0	0	0.5	1	NaN
2722	-0.00306796157577	0.013805827091	1.41893222879	0	0	-0.0	-0.0	-0.414690230274	0	0	0	0	0.5	1	NaN	0	0	0.5	1	NaN	0	0	0.5	1	NaN
2747	-0.00306796157577	0.013805827091	1.40666038249	0	0	-0.0	-0.0	-0.414690230274	0	0	0	0	0.5	1	NaN	0	0	0.5	1	NaN	0	0	0.5	1	NaN
2774	-0.00306796157577	0.013805827091	1.39438853619	0	0	-0.0	-0.0	-0.460766922527	0	0	0	0	0.5	1	NaN	0	0	0.5	1	NaN	0	0	0.5	1	NaN
2799	-0.00306796157577	0.013805827091	1.3805827091	0	0	-0.0	-0.0	-0.506843614779	0	0	0	0	0.5	1	NaN	0	0	0.5	1	NaN	0	0	0.5	1	NaN
